"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
1,85728971,25,25,205866436,205862089,"S1400","Stimson St",2758," "," "," "," ",0,0,15.16,5,5,0,0,0,0,0,0,0,250251304043,25025130404
2,85732636,25,25,205866449,205862089,"S1400","Grove St",2758," "," "," "," ",0,0,13.98,4,4,1,0,0,0,0,0,0,250251304041,25025130404
3,85703196,25,25,205866464,205862091,"S1400","Washington St",2758,"5132","5166"," "," ",2132,0,57.9,4,4,1,0,6,31,31,31,1,250251304062,25025130406
4,85734590,25,25,205862590,205862091,"S1400","Washington St",2758," "," "," "," ",0,0,15.18,5,5,0,0,0,0,0,0,0,250251304041,25025130404
5,85728977,25,25,205862590,205862092,"S1400","Rockingham Ave",2758," "," "," "," ",0,0,14.17,5,5,0,0,0,0,0,0,0,250251304041,25025130404
6,85728949,25,25,205871550,205862096,"S1400","Weymouth Ave",2758," "," "," "," ",0,0,13.92,5,5,0,0,0,0,0,0,0,250251304041,25025130404
7,85703088,25,25,205862103,205862103,"S1400","Vershire St",2758,"50","98","91","99",2132,2132,20.53,5,5,0,1,4,1,1,1,1,250251303004,25025130300
8,85728962,25,25,205862103,205862104,"S1400","Cowing St",2758,"2","10","1","17",2132,2132,85.67,5,5,0,0,2,8,8,5,5,250251303004,25025130300
9,85734395,25,25,205868732,205862107,"S1630"," ",2758," "," "," "," ",0,0,21.73,5,5,0,0,0,0,0,0,0,250250910014,25025091001
10,85696437,25,25,205873344,205862111,"S1400","Buchanan Rd",2758,"2","36","1","41",2132,2132,232.59,5,5,0,0,4,19,19,19,19,250251106011,25025110601
11,85696380,25,25,205873319,205862111,"S1400","Buchanan Rd",2758,"64","80","71","83",2132,2132,67.46,5,5,0,0,4,4,4,4,4,250251106011,25025110601
12,639001138,25,25,260983370,205862111,"S1400","Centre St",2758," "," ","1281","1303",0,2132,76.33,4,4,1,0,0,0,0,0,0,250251106074,25025110607
13,85704819,25,25,205862112,205862112,"S1400","Starbird Ave",2758," "," ","18","2",0,2131,80.19,5,5,0,1,2,10,10,5,5,250251103011,25025110301
14,85704817,25,25,205872177,205862112,"S1400","Neponset Ave",2758,"94","110","93","103",2131,2131,37.51,5,5,0,0,2,9,9,7,5,250251103011,25025110301
15,85736168,25,25,205863310,205862112,"S1400"," ",2758," "," "," "," ",0,0,13.38,6,6,0,0,0,0,0,0,0,250251103011,25025110301
16,85729293,25,25,205862113,205862112,"S1400","Canterbury St",2758,"640","664","659","663",2131,2131,83.41,5,5,0,0,4,1,1,2,2,250251103011,25025110301
17,85729322,25,25,205871556,205862114,"S1400","American Legion Hwy",2758,"982","998"," "," ",2131,0,208.61,4,4,1,0,3,0,0,3,3,250251404006,25025140400
18,85736338,25,25,205862115,205862114,"S1400"," ",2758," "," "," "," ",0,0,487.73,4,4,1,0,0,0,0,0,0,250251404006,25025140400
19,85718688,25,25,205862115,205862115,"S1400","Jalleison St",2758,"1","99","2","98",2136,2136,131.61,5,5,0,1,3,32,1,4,4,250251404006,25025140400
20,85736346,25,25,205873199,205862121,"S1200","Morton St",2758,"834","854"," "," ",2126,0,98.9,2,2,1,0,2,9,9,3,3,250251002002,25025100200
21,637162132,25,25,205866192,260042534,"S1400","Park Dr",2758," "," ","191","197",0,2215,63.16,4,4,1,0,3,57,57,2,2,250250102033,25025010203
22,85727735,25,25,205866211,205862128,"S1400","Jersey St",2758,"154","182"," "," ",2215,0,45.68,5,5,0,0,3,5,5,2,2,250250102033,25025010203
23,85736361,25,25,205871748,205862136,"S1400","Cambridge St",2758," "," "," "," ",0,0,35.5,4,4,1,0,3,7,7,2,2,250250006012,25025000601
24,85729124,25,25,250882889,205862140,"S1400","Reservation Rd",2758,"282","298","285","299",2136,2136,74.29,5,5,0,0,0,0,0,0,0,250259807001,25025980700
25,85730521,25,25,205867997,205862141,"S1400","W Broadway",0," "," "," "," ",0,0,21.13,4,4,1,0,0,0,0,0,0,250250612001,25025061200
26,85736376,25,25,205872102,205862149,"S1400"," ",2758," "," "," "," ",0,0,23.66,5,5,0,0,0,0,0,0,0,250251403005,25025140300
27,85731101,25,25,205868770,205862150,"S1400","Pleasant St",2758,"174","182","187","191",2125,2125,26.4,4,4,1,0,0,0,0,0,0,250250910011,25025091001
28,85737349,25,25,261569957,262481017,"S1630"," ",0," "," "," "," ",0,0,11.37,4,8,1,0,0,0,0,0,0,250250303001,25025030300
29,639486220,25,25,262481017,261569922,"S1100","I- 93",0," "," "," "," ",0,0,56.48,1,9,1,0,0,0,0,0,0,250250303001,25025030300
30,85739707,25,25,205863949,205862156,"S1400","Cummins Hwy",2758," "," "," "," ",0,0,21.15,4,4,1,0,0,0,0,0,0,250251010013,25025101001
31,85734758,25,25,205867448,205862157,"S1400"," ",2758," "," "," "," ",0,0,208.34,5,5,0,0,3,63,63,31,11,250250107021,25025010702
32,85712430,25,25,205862162,205862162,"S1400","Sumner Ter",2758,"2","98","1","99",2125,2125,61.22,5,5,0,1,2,10,10,5,5,250250912001,25025091200
33,85712454,25,25,205869980,205862162,"S1400","Sumner St",2758,"24","32","23","35",2125,2125,63.02,5,5,0,0,4,7,7,6,6,250250912001,25025091200
34,85736393,25,25,205872032,205862162,"S1400"," ",2758," "," "," "," ",0,0,61.94,4,4,1,0,0,0,0,0,0,250250912001,25025091200
35,85726415,25,25,205869643,205862163,"S1400","Sylvester Rd",2758,"2","98","1","99",2122,2122,193.17,5,5,0,0,4,25,25,16,15,250251007003,25025100700
36,85733609,25,25,205872444,205862173,"S1400","Riverway",2758," "," "," "," ",0,0,127.05,4,4,1,0,0,0,0,0,0,250250810012,25025081001
37,85733268,25,25,205865578,258863874,"S1400","City Sq",0,"99","51","98","50",2129,2129,1.2,4,4,1,0,0,0,0,0,0,250250401002,25025040100
38,639508919,25,25,262481036,258863874,"S1200","Maurice Tobin Brg",0," "," "," "," ",0,0,35.27,1,9,1,0,0,0,0,0,0,250250401002,25025040100
39,636133622,25,25,258864091,258864107,"S1400","Chelsea St",0,"30","86"," "," ",2129,0,209.02,4,4,1,0,0,0,0,0,0,250250401001,25025040100
40,85734506,25,25,205868899,205862188,"S1200","Blue Hill Ave",2758," "," ","626","612",0,2121,68.05,2,2,1,0,3,22,22,3,2,250250901003,25025090100
41,85734900,25,25,205863958,205862188,"S1400"," ",2758," "," "," "," ",0,0,58.88,4,4,1,0,0,0,0,0,0,250250901003,25025090100
42,85737259,25,25,261569332,261569310,"S1100","I- 93",0," "," "," "," ",0,0,146.38,1,9,1,0,0,0,0,0,0,250250303001,25025030300
43,85736435,25,25,205869736,205862200,"S1400","Washington St",2758," "," "," "," ",0,0,6.8,4,4,1,0,0,0,0,0,0,250251105012,25025110501
44,85731907,25,25,205870117,205862207,"S1400","Kensington Park",0," "," "," "," ",0,0,13.93,4,4,1,0,0,0,0,0,0,250250817001,25025081700
45,85728814,25,25,205870402,205862209,"S1400","Warren St",2758,"400","466","461","465",2121,2121,87.34,4,4,1,0,1,32,32,8,5,250250820001,25025082000
46,85728704,25,25,205862940,205862213,"S1400","Warren St",2758,"326","338"," "," ",2119,0,44.12,4,4,1,0,7,15,15,3,3,250250818003,25025081800
47,85735728,25,25,205862946,205862213,"S1400"," ",2758," "," "," "," ",0,0,12.63,6,6,0,0,0,0,0,0,0,250250817002,25025081700
48,85741683,25,25,259817387,205862218,"S1400","Storrow Memorial Dr",0," "," "," "," ",0,0,12.84,1,1,1,0,0,0,0,0,0,250250101033,25025010103
49,85737765,25,25,205863741,205862220,"S1630"," ",2758," "," "," "," ",0,0,10.23,4,7,1,0,0,0,0,0,0,250250008031,25025000803
50,639552895,25,25,261595748,261595751,"S1630"," ",0," "," "," "," ",0,0,44.13,1,9,1,0,0,0,0,0,0,250250612001,25025061200
51,85728237,25,25,205871906,205862248,"S1400","Cahners Pl",0," "," "," "," ",0,0,5.53,4,4,1,0,0,0,0,0,0,250250707001,25025070700
52,85733635,25,25,262443545,205862249,"S1630"," ",0," "," "," "," ",0,0,20.52,1,1,1,0,0,0,0,0,0,250250404012,25025040401
53,639487389,25,25,261570432,262469068,"S1630"," ",0," "," "," "," ",0,0,61.2,4,7,1,0,0,0,0,0,0,250250701018,25025070101
54,636826807,25,25,205862166,262453486,"S1200","Commonwealth Ave",0," "," "," "," ",0,0,44.09,2,2,1,0,0,0,0,0,0,250250101033,25025010103
55,85730389,25,25,261576498,205862264,"S1400","Kneeland St",0," "," "," "," ",0,0,4.87,4,4,1,0,0,0,0,0,0,250250701011,25025070101
56,638018232,25,25,260450683,260696895,"S1630"," ",0," "," "," "," ",0,0,42.93,1,1,1,0,0,0,0,0,0,250251007002,25025100700
57,85726238,25,25,205863470,205862283,"S1400","Addison St",2758,"2","198","1","199",2128,2128,431.99,5,5,0,0,3,44,33,24,20,250250510003,25025051000
58,85734508,25,25,205862318,205862284,"S1400"," ",2758," "," "," "," ",0,0,10.76,5,5,0,0,0,0,0,0,0,250259810001,25025981000
59,85734821,25,25,205871777,205862288,"S1400"," ",2758," "," "," "," ",0,0,3.13,5,5,0,0,0,0,0,0,0,250250005041,25025000504
60,85737788,25,25,205863810,258864045,"S1400","Austin St",2758," "," "," "," ",0,0,8.58,4,4,1,0,0,0,0,0,0,250250404012,25025040401
61,85736987,25,25,205865312,261596094,"S1400","N380",0," "," "," "," ",0,0,301.24,4,4,1,0,0,0,0,0,0,250250612001,25025061200
62,85737887,25,25,205867243,205862312,"S1400","Embankment Rd",0," "," "," "," ",0,0,40.92,4,2,1,0,0,0,0,0,0,250259815011,25025981501
63,85735743,25,25,205864583,205862314,"S1400","Huntington Ave",2758," "," "," "," ",0,0,47.15,4,4,1,0,0,0,0,0,0,250250105002,25025010500
64,85734895,25,25,205863957,205862315,"S1400"," ",2758," "," "," "," ",0,0,40.1,5,5,0,0,0,0,0,0,0,250250104041,25025010404
65,85728614,25,25,262941860,205862316,"S1400","St Botolph St",2758,"268","276","269","277",2115,2115,30.17,5,5,0,0,3,0,0,2,2,250250104053,25025010405
66,85735062,25,25,227167550,205862320,"S1400"," ",2758," "," "," "," ",0,0,85.23,6,6,0,0,0,0,0,0,0,250251402011,25025140201
67,636822304,25,25,259815599,259815598,"S1400","Prentiss St",0," "," "," "," ",0,0,15.16,2,2,1,0,0,0,0,0,0,250250806012,25025080601
68,85724730,25,25,205868923,205862326,"S1400","William T Morrissey Blvd",2758," "," ","131","149",0,2125,151.15,4,4,1,0,5,30,0,1,1,250250909012,25025090901
69,85735450,25,25,205862107,205862326,"S1630"," ",2758," "," "," "," ",0,0,108.49,6,6,0,0,0,0,0,0,0,250250910014,25025091001
70,85732657,25,25,205864872,205862328,"S1400","Boston-Providence Tpke",2758," "," ","1543","1567",0,2132,122.01,4,4,1,0,0,0,0,0,0,250251304022,25025130402
71,85728308,25,25,205862388,205862341,"S1400","Pilgrim Rd",2758," "," "," "," ",0,0,5.12,5,5,0,0,0,0,0,0,0,250259818001,25025981800
72,85739498,25,25,260545922,205862349,"S1200","Leverett Connector S",0," "," "," "," ",0,0,15.85,1,1,1,0,0,0,0,0,0,250250203032,25025020303
73,85737401,25,25,260696408,260696632,"S1630"," ",0," "," "," "," ",0,0,3.43,4,7,1,0,0,0,0,0,0,250250701011,25025070101
74,85739580,25,25,205862423,205862380,"S1100","I- 93",0," "," "," "," ",0,0,23.74,1,1,1,0,0,0,0,0,0,250250404012,25025040401
75,85739528,25,25,205862383,205862386,"S1100","I- 90",0," "," "," "," ",0,0,115.2,1,9,1,0,0,0,0,0,0,250259813002,25025981300
76,85704587,25,25,262456909,262456909,"S1400","Fulton St",2758,"22","2","21","1",2136,2136,51.19,5,5,0,1,2,2,2,2,2,250251403003,25025140300
